camera,camera_type,exposure_s,iso_gain,bortle_class,filter,sky_temp_c,sensor_temp_c,read_noise_e,dark_current_e_s,signal_e,total_noise_e,snr_single_sub,target_snr,recommended_subs,scenario_date
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,5,7.3,5.0,0.0443,257.5,11.24,22.9,100,19,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,5,7.5,5.0,0.0446,272.4,11.24,24.2,100,17,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,10,11.7,5.0,0.0504,297.6,11.25,26.5,100,14,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,10,14.6,5.0,0.0544,297.6,11.25,26.4,100,14,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,10,12.9,5.0,0.052,277.0,11.25,24.6,100,16,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,10,14.3,5.0,0.054,291.0,11.25,25.9,100,14,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,15,17.6,5.0,0.0586,269.0,11.26,23.9,100,17,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,15,18.4,5.0,0.0598,289.6,11.26,25.7,100,15,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,15,18.2,5.0,0.0595,300.1,11.26,26.7,100,14,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,15,16.6,5.0,0.0573,255.2,11.26,22.7,100,19,2025-12-11
Nikon D7500,DSLR,30,800,5,None,0,4.7,5.0,0.0406,195.4,13.27,14.7,100,46,2025-12-11
Nikon D7500,DSLR,30,800,5,None,0,2.6,5.0,0.0377,214.2,13.27,16.1,100,38,2025-12-11
Nikon D7500,DSLR,30,800,5,None,0,1.9,5.0,0.0367,202.0,13.27,15.2,100,43,2025-12-11
Nikon D7500,DSLR,30,800,5,None,0,3.6,5.0,0.0391,229.8,13.27,17.3,100,33,2025-12-11
Nikon D7500,DSLR,30,800,5,None,5,8.0,5.0,0.0452,195.0,13.28,14.7,100,46,2025-12-11
Nikon D7500,DSLR,30,800,5,None,5,8.3,5.0,0.0457,198.6,13.28,15.0,100,44,2025-12-11
Nikon D7500,DSLR,30,800,5,None,5,8.1,5.0,0.0453,217.5,13.28,16.4,100,37,2025-12-11
Nikon D7500,DSLR,30,800,5,None,5,5.9,5.0,0.0423,210.3,13.28,15.8,100,39,2025-12-11
Nikon D7500,DSLR,30,800,5,None,10,12.2,5.0,0.051,213.4,13.29,16.1,100,38,2025-12-11
Nikon D7500,DSLR,30,800,5,None,10,12.1,5.0,0.051,222.8,13.29,16.8,100,35,2025-12-11
Nikon D7500,DSLR,30,800,5,None,10,13.9,5.0,0.0535,220.0,13.29,16.6,100,36,2025-12-11
Nikon D7500,DSLR,30,800,5,None,10,13.0,5.0,0.0522,194.2,13.29,14.6,100,46,2025-12-11
Nikon D7500,DSLR,30,800,5,None,15,18.5,5.0,0.0599,205.7,13.3,15.5,100,41,2025-12-11
Nikon D7500,DSLR,30,800,5,None,15,17.7,5.0,0.0587,209.5,13.3,15.8,100,40,2025-12-11
Nikon D7500,DSLR,30,800,5,None,15,18.5,5.0,0.06,229.1,13.3,17.2,100,33,2025-12-11
Nikon D7500,DSLR,30,800,5,None,15,17.8,5.0,0.059,227.8,13.3,17.1,100,34,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,0,2.8,5.0,0.0379,254.8,13.27,19.2,100,27,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,0,3.2,5.0,0.0384,232.1,13.27,17.5,100,32,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,0,3.1,5.0,0.0383,247.9,13.27,18.7,100,28,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,0,5.5,5.0,0.0417,256.8,13.28,19.3,100,26,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,5,7.1,5.0,0.044,267.3,13.28,20.1,100,24,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,5,6.5,5.0,0.0432,266.4,13.28,20.1,100,24,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,5,8.3,5.0,0.0456,232.3,13.28,17.5,100,32,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,5,7.3,5.0,0.0442,267.0,13.28,20.1,100,24,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,10,10.9,5.0,0.0492,253.6,13.28,19.1,100,27,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,10,11.9,5.0,0.0507,270.5,13.29,20.4,100,24,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,10,15.2,5.0,0.0553,247.6,13.29,18.6,100,28,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,10,12.1,5.0,0.051,259.7,13.29,19.5,100,26,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,15,16.2,5.0,0.0567,249.7,13.29,18.8,100,28,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,15,20.1,5.0,0.0622,238.7,13.3,18.0,100,31,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,15,16.9,5.0,0.0577,268.0,13.29,20.2,100,24,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Enhance,15,20.9,5.0,0.0633,230.2,13.3,17.3,100,33,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,0,2.6,5.0,0.0377,234.2,13.27,17.6,100,32,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,0,4.7,5.0,0.0406,242.4,13.27,18.3,100,29,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,0,2.8,5.0,0.0379,273.2,13.27,20.6,100,23,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,0,3.4,5.0,0.0388,241.1,13.27,18.2,100,30,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,5,7.9,5.0,0.045,232.6,13.28,17.5,100,32,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,5,7.8,5.0,0.0449,229.6,13.28,17.3,100,33,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,5,8.2,5.0,0.0455,229.5,13.28,17.3,100,33,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,5,8.5,5.0,0.0459,261.1,13.28,19.7,100,25,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,10,13.2,5.0,0.0524,242.8,13.29,18.3,100,29,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,10,13.1,5.0,0.0523,270.9,13.29,20.4,100,24,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,10,12.3,5.0,0.0512,229.0,13.29,17.2,100,33,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,10,12.9,5.0,0.0521,239.4,13.29,18.0,100,30,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,15,19.6,5.0,0.0614,247.8,13.3,18.6,100,28,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,15,17.2,5.0,0.0581,245.6,13.29,18.5,100,29,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,15,18.3,5.0,0.0596,231.9,13.3,17.4,100,32,2025-12-11
Nikon D7500,DSLR,30,800,5,Optolong L-Quad Enhance,15,19.2,5.0,0.0609,229.4,13.3,17.3,100,33,2025-12-11
Nikon D7500,DSLR,30,800,6,None,0,3.5,5.0,0.0389,174.8,15.04,11.6,100,74,2025-12-11
Nikon D7500,DSLR,30,800,6,None,0,3.9,5.0,0.0395,205.3,15.04,13.7,100,53,2025-12-11
Nikon D7500,DSLR,30,800,6,None,0,1.9,5.0,0.0366,201.5,15.04,13.4,100,55,2025-12-11
Nikon D7500,DSLR,30,800,6,None,0,3.3,5.0,0.0386,195.4,15.04,13.0,100,59,2025-12-11
Nikon D7500,DSLR,30,800,6,None,5,7.7,5.0,0.0448,176.1,15.04,11.7,100,72,2025-12-11
Nikon D7500,DSLR,30,800,6,None,5,7.7,5.0,0.0448,190.5,15.04,12.7,100,62,2025-12-11
Nikon D7500,DSLR,30,800,6,None,5,9.5,5.0,0.0473,188.6,15.05,12.5,100,63,2025-12-11
Nikon D7500,DSLR,30,800,6,None,5,7.8,5.0,0.0449,195.3,15.04,13.0,100,59,2025-12-11
Nikon D7500,DSLR,30,800,6,None,10,13.3,5.0,0.0526,176.3,15.05,11.7,100,72,2025-12-11
Nikon D7500,DSLR,30,800,6,None,10,11.2,5.0,0.0497,186.8,15.05,12.4,100,64,2025-12-11
Nikon D7500,DSLR,30,800,6,None,10,14.7,5.0,0.0546,185.0,15.05,12.3,100,66,2025-12-11
Nikon D7500,DSLR,30,800,6,None,10,13.9,5.0,0.0534,183.4,15.05,12.2,100,67,2025-12-11
Nikon D7500,DSLR,30,800,6,None,15,17.9,5.0,0.0591,197.1,15.06,13.1,100,58,2025-12-11
Nikon D7500,DSLR,30,800,6,None,15,17.7,5.0,0.0587,207.1,15.06,13.8,100,52,2025-12-11
Nikon D7500,DSLR,30,800,6,None,15,18.6,5.0,0.06,189.3,15.06,12.6,100,63,2025-12-11
Nikon D7500,DSLR,30,800,6,None,15,19.2,5.0,0.0608,191.3,15.06,12.7,100,61,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,0,4.7,5.0,0.0406,235.0,15.04,15.6,100,40,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,0,3.8,5.0,0.0394,229.5,15.04,15.3,100,42,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,0,3.1,5.0,0.0383,218.3,15.04,14.5,100,47,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,0,4.0,5.0,0.0396,214.4,15.04,14.3,100,49,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,5,8.8,5.0,0.0463,244.4,15.05,16.2,100,37,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,5,8.1,5.0,0.0453,233.2,15.05,15.5,100,41,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,5,8.8,5.0,0.0463,238.3,15.05,15.8,100,39,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,5,8.7,5.0,0.0462,247.9,15.05,16.5,100,36,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,10,12.9,5.0,0.0521,248.9,15.05,16.5,100,36,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,10,12.5,5.0,0.0515,232.3,15.05,15.4,100,41,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,10,13.6,5.0,0.0531,241.5,15.05,16.0,100,38,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,10,12.0,5.0,0.0508,216.8,15.05,14.4,100,48,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,15,16.8,5.0,0.0575,209.5,15.06,13.9,100,51,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,15,18.3,5.0,0.0596,231.0,15.06,15.3,100,42,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,15,18.6,5.0,0.0601,226.4,15.06,15.0,100,44,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Enhance,15,18.3,5.0,0.0596,240.0,15.06,15.9,100,39,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,0,3.4,5.0,0.0388,227.6,15.04,15.1,100,43,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,0,0.9,5.0,0.0353,247.7,15.04,16.5,100,36,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,0,3.6,5.0,0.039,210.5,15.04,14.0,100,51,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,0,4.5,5.0,0.0403,235.2,15.04,15.6,100,40,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,5,8.8,5.0,0.0464,240.5,15.05,16.0,100,39,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,5,8.8,5.0,0.0463,220.4,15.05,14.6,100,46,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,5,8.2,5.0,0.0455,240.0,15.05,15.9,100,39,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,5,8.3,5.0,0.0456,221.8,15.05,14.7,100,46,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,10,12.9,5.0,0.052,212.4,15.05,14.1,100,50,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,10,13.4,5.0,0.0527,247.9,15.05,16.5,100,36,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,10,11.9,5.0,0.0507,222.7,15.05,14.8,100,45,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,10,14.5,5.0,0.0543,230.4,15.05,15.3,100,42,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,15,17.2,5.0,0.058,240.8,15.06,16.0,100,39,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,15,18.8,5.0,0.0604,222.4,15.06,14.8,100,45,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,15,19.3,5.0,0.0611,237.9,15.06,15.8,100,40,2025-12-11
Nikon D7500,DSLR,30,800,6,Optolong L-Quad Enhance,15,18.8,5.0,0.0604,210.6,15.06,14.0,100,51,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,0,5.3,5.0,0.0415,256.9,8.73,29.4,100,11,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,0,1.0,5.0,0.0354,254.4,8.72,29.2,100,11,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,0,2.5,5.0,0.0376,225.6,8.73,25.9,100,14,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,0,4.3,5.0,0.04,266.3,8.73,30.5,100,10,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,5,6.7,5.0,0.0434,247.9,8.74,28.4,100,12,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,5,7.2,5.0,0.0441,240.1,8.74,27.5,100,13,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,5,8.5,5.0,0.0459,264.1,8.74,30.2,100,10,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,5,6.6,5.0,0.0432,274.9,8.73,31.5,100,10,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,10,13.1,5.0,0.0523,239.2,8.75,27.3,100,13,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,10,13.5,5.0,0.0528,230.3,8.75,26.3,100,14,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,10,13.1,5.0,0.0524,229.5,8.75,26.2,100,14,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,10,13.2,5.0,0.0525,226.4,8.75,25.9,100,14,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,15,17.3,5.0,0.0582,232.2,8.76,26.5,100,14,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,15,18.2,5.0,0.0595,234.9,8.76,26.8,100,13,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,15,17.6,5.0,0.0586,257.8,8.76,29.4,100,11,2025-12-11
Nikon D7500,DSLR,30,1600,3,None,15,17.7,5.0,0.0588,225.3,8.76,25.7,100,15,2025-12-11
Nikon D7500,DSLR,30,1600,3,Optolong L-Enhance,0,3.8,5.0,0.0394,306.4,8.73,35.1,100,8,2025-12-11
Nikon D7500,DSLR,30,1600,3,Optolong L-Enhance,0,1.7,5.0,0.0364,284.3,8.72,32.6,100,9,2025-12-11
